Nombre,Code Departamento,lat,lon,Provincia
MAGALLANES,78042,-49.06422424,-68.32466888,SANTA CRUZ
DIAMANTE,30021,-32.01197804,-60.61726225,ENTRE RÍOS
MAIPU,50070,-32.94093297,-68.64291679,MENDOZA
SANTA MARIA,10091,-26.79468925,-66.48349644,CATAMARCA
LEDESMA,38035,-23.88497353,-64.67390442,JUJUY
UTRACAN,42154,-37.4392128,-65.02373505,LA PAMPA
ADOLFO ALSINA,06007,-37.04622644,-63.26682104,BUENOS AIRES
RIO PRIMERO,14105,-30.80593546,-63.17324293,CÓRDOBA
CAFAYATE,66021,-26.10228924,-66.01550671,SALTA
SARMIENTO,86182,-28.08144587,-63.33466823,SANTIAGO DEL ESTERO
MERCEDES,18105,-29.06,-57.76000002,CORRIENTES
LOBOS,06483,-35.2649767,-59.0698098,BUENOS AIRES
GENERAL GUEMES,22063,-25.70413822,-61.03150273,CHACO
OJO DE AGUA,86126,-29.72712,-63.42753,SANTIAGO DEL ESTERO
AZUL,06049,-37.0314689,-59.6042326,BUENOS AIRES
ENSENADA,06245,-34.87584856,-57.9336299,BUENOS AIRES
MORENO,86119,-27.41385841,-63.06546783,SANTIAGO DEL ESTERO
CAPITAL,10049,-28.33210754,-65.89406586,CATAMARCA
CONFLUENCIA,58035,-38.75282316,-68.83773873,NEUQUÉN
DAIREAUX,06231,-36.75218201,-61.81564331,BUENOS AIRES
LAVALLE,50056,-32.81013676,-67.22178208,MENDOZA
CONESA,62028,-40.2205658,-64.07060242,RÍO NEGRO
TAFI DEL VALLE,90098,-26.596217,-65.8573856,TUCUMÁN
GOBERNADOR DUPUY,74042,-34.82387161,-66.44893646,SAN LUIS
LOS ANDES,66105,-24.65456963,-67.30360413,SALTA
COMUNA 8,02008,-34.67499358,-58.47616299,CIUDAD DE BUENOS AIRES
CASEROS,82014,-33.2334798,-61.682947,SANTA FE
TRENQUE LAUQUEN,06826,-36.0383096,-62.8210281,BUENOS AIRES
METAN,66112,-25.51643753,-64.60592651,SALTA
